course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
Accounting,,,https://www.moreheadstate.edu/College-of-Business-and-Technology/School-of-Business-Administration/Academic-Programs/Business-Administration,,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"Accountants are responsible for analyzing and preparing financial records for corporations, government agencies, small businesses and private citizens. Morehead State's Bachelor of Business Administration in Accounting will give you the skills to prepare you for a career as an accountant in a wide range of career fields, including tax, auditing, controllership and more. As s student, you'll take courses in tax, governmental, auditing, accounting information systems and more.","[  Unnamed: 0                   Unnamed: 1      FIRST YEAR COURSE SCHEDULE Unnamed: 2 Unnamed: 3
0                          Fall Semester  Code Credits  Spring Semester       Code    Credits
1        NaN  FYS 101- First Year Seminar           G 3 ENG 100-Writing I          G          3
2        NaN          COMM 108-Oral Comm.   G 3 NSC 1 – Physical Sciences          G          3
3        NaN           HUM 1 – Humanities          G 3 HUM 2 – Humanities          G          3
4        NaN   SBS1 – Social/Behavioral 1                     G 3 MKT 204        P,R          3
5        NaN                      CIS 211                  P,R 3 MNGT 201        P,R          3
6        NaN           TOTAL CREDIT HOURS           15 TOTAL CREDIT HOURS        NaN         15,   Unnamed: 0                         Unnamed: 1          SECOND YEAR COURSE SCHEDULE  Unnamed: 2 Unnamed: 3
0                                Fall Semester  Code Credits  Spring Semester Code         NaN    Credits
1        NaN                 ENG 200-Writing II      G 3 NSC 2 – Physical Sciences G         NaN          3
2        NaN                     MATH 152 –Math                  G 3 MATH 305  S,U,R         NaN          3
3        NaN  SBS2 Course (Exchange) - ECON 201                     G 3 BBA 261  P,R         NaN          3
4        NaN                            BBA 295                   P,R 3 ACCT 282 P,R         NaN          3
5        NaN                           ACCT 281                  P,R 3 ECON 202  P,R         NaN          3
6        NaN                 TOTAL CREDIT HOURS                15 TOTAL CREDIT HOURS         NaN         15,   Unnamed: 0          Unnamed: 1           THIRD YEAR COURSE SCHEDULE  Unnamed: 2 Unnamed: 3
0                 Fall Semester  Code Credits  Spring Semester Code         NaN    Credits
1        NaN             CIS 311                   U,R 3 FIN 360  U,R         NaN          3
2        NaN             BBA 363                    U,R 3 BBA 380 U,R         NaN          3
3        NaN             BBA 315                   U,R 3 ACCT 382 U,O         NaN          3
4        NaN            ACCT 381                   U,O 3 ACCT 390 U,O         NaN          3
5        NaN             BBA 350                U,R 3 Free Elective E         NaN          3
6        NaN  TOTAL CREDIT HOURS                15 TOTAL CREDIT HOURS         NaN         15,   Unnamed: 0          Unnamed: 1          FOURTH YEAR COURSE SCHEDULE  Unnamed: 2 Unnamed: 3
0                 Fall Semester  Code Credits  Spring Semester Code         NaN    Credits
1        NaN             BBA 475                  U,R 3 BBA 499C  G,U         NaN          3
2        NaN             BBA 370                   U,R 3 ACCT 483 U,O         NaN          3
3        NaN            ACCT 383               U,O 3 ACCT ElectiveU,O         NaN          3
4        NaN            ACCT 387               U,O 3 ACCT ElectiveU,O         NaN          3
5        NaN       ACCT Elective                U,O 3 Free Elective E         NaN          3
6        NaN  TOTAL CREDIT HOURS                15 TOTAL CREDIT HOURS         NaN         15]","Graduates of this program pursue careers in corporate, personal or private accounting, financial advising, consulting, investment planning and more.",
Creative Writing,,,"https://www.moreheadstate.edu/Caudill-College-of-Arts,-Humanities-and-Social-Sci/English/Academic-Programs/Creative-Writing",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"MSU's Bachelor of Fine Arts (BFA) in Creative Writing is one of the few undergraduate creative writing programs offered across the country. You will receive hands-on experience through studio-oriented creative writing workshops in poetry, fiction and creative nonfiction. Students complete a solid foundation of literature courses along with courses in humanities, the natural and social sciences, and world languages.","[   Unnamed: 0                  Unnamed: 1             FIRST YEAR COURSE SCHEDULE Unnamed: 2 Unnamed: 3
0         3.0               Fall Semester         Code Credits 3 Spring Semester       Code    Credits
1         NaN  FYS 101-First Year Seminar               G 3 ENG 200 - Writing II          G          3
2         NaN         ENG 100 - Writing I    G 3 MATH 131, 135, 152, 174, or 175          G          3
3         NaN  COMM 108 - Fundamentals of      G 3 HUM 1 - Humanities - Elective          G          3
4         NaN                Speech Comm.                                    NaN        NaN        NaN
5         NaN  NSC 1 - Natural Sciences -  G 3 ENG 293 Intro to Creative Writing          R          3
6         NaN                    Elective                                    NaN        NaN        NaN
7         NaN    HUM 2 - Foreign Language               G 3 Foreign Language 102          S          3
8         NaN                         101                                    NaN        NaN        NaN
9         NaN          Total Credit Hours                  15 Total Credit Hours        NaN         15,     Unnamed: 0                    Unnamed: 1             SECOND YEAR COURSE SCHEDULE Unnamed: 2 Unnamed: 3
0          3.0                 Fall Semester          Code Credits 3 Spring Semester       Code    Credits
1          NaN    NSC 2 – Natural Sciences -  G 3 SBS 2 – Social/Behavioral Sciences          G          3
2          NaN                    – Elective                              - Elective        NaN        NaN
3          NaN  ENG 331 – British Literature  R 3 ENG 300 – Introduction to Literary        R++          3
4          NaN                       to 1789                      Studies in English        NaN        NaN
5          NaN           ENG 395, 396 or 397     R 3 ENG 341- American Literature to          R          3
6          NaN                           NaN                                    1865        NaN        NaN
7          NaN     SBS 1 – Social/Behavioral                G 3 ENG 395, 396 or 397*          R          3
8          NaN           Sciences - Elective                                     NaN        NaN        NaN
9          NaN              General Elective                    E 3 General Elective          E          3
10         NaN            Total Credit Hours                   15 Total Credit Hours        NaN         15,    Unnamed: 0                  Unnamed: 1                THIRD YEAR COURSE SCHEDULE Unnamed: 2 Unnamed: 3
0         3.0               Fall Semester            Code Credits 3 Spring Semester       Code    Credits
1         NaN              ENG 332 or 342                                 R 3 Minor          R          3
2         NaN  Literature and Linguistics  R 3 Literature and Linguistics Elective+          R          3
3         NaN                   Elective+                                       NaN        NaN        NaN
4         NaN       ENG 395, 396, or 397*        R 3 ENG 483, 484, 485 or THEA 412*         RU          3
5         NaN                      M inor                                 R 3 Minor          R          3
6         NaN                       Minor                      R 3 General Elective          G          3
7         NaN          Total Credit Hours                     15 Total Credit Hours        NaN         15,    Unnamed: 0                    Unnamed: 1                FOURTH YEAR COURSE SCHEDULE Unnamed: 2 Unnamed: 3
0         3.0                 Fall Semester             Code Credits 3 Spring Semester       Code    Credits
1         NaN     ENG 483, 484, 485 or THEA  RU 3 Literature and Linguistics Elective+         RU          3
2         NaN                          412*                                        NaN        NaN        NaN
3         NaN  ENG 483, 484, or 485 or THEA              RU 3 CRW 499C – Senior Thesis         GU          3
4         NaN                          412*                                        NaN        NaN        NaN
5         NaN                         Minor                                 RU 3 Minor         RU          3
6         NaN                         Minor                      RU 3 General Elective          E          3
7         NaN              General Elective                       E 3 General Elective          E          3
8         NaN            Total Credit Hours                      15 Total Credit Hours        NaN         15,                         Literature Surveys                     Cultural Diversity              Literary Period (Cont.)
0     ENG 331 – British Literature to 1750    ENG 311 – Global English Literature       ENG 444 – 20th Century British
1                                      NaN                                    NaN                           Literature
2   ENG 332- British Literature since 1750            ENG 320 – Women Writers and       ENG 445 – 17th Century British
3                                      NaN                  Feminist Perspectives                           Literature
4    ENG 341 - American Literature to 1865  ENG 325 – Religious Literature of the                         Major Author
5                                      NaN                                  World                                  NaN
6      ENG 342 - American Literature since             ENG 348 – African-American                ENG 435 – Shakespeare
7                                     1865                             Literature                                  NaN
8                                      NaN       ENG 360 – Appalachian Literature    ENG 495 – Seminar:  Major Writers
9   Literature and Linguistics Electives –      ENG 365 – Literature of the South                                  NaN
10  Select three of the following, no more   ENG 398 – Gay and Lesbian Literature                                Genre
11    than one course from a specific area                                    NaN                                  NaN
12                             Linguistics                        Literary Period    ENG 344 – The Short Story and the
13                                     NaN                                    NaN                                Novel
14   ENG 305 – Introduction to Linguistics          ENG 422 – Studies in American          ENG 432 – The English Novel
15                                     NaN                     Literature to 1900                                  NaN
16          ENG 315 – Structure of English          ENG 423 – Studies in American                ENG 435 – Shakespeare
17                                     NaN                  Literature, 1900-1965                                  NaN
18        ENG 393 – History of the English      ENG 424 – Studies in Contemporary               ENG 453 – Modern Drama
19                                Language                    American Literature                                  NaN
20          ENG 394 – Language and Society      ENG 436 – The English Renaissance  ENG 455 – Early Dramatic Literature
21                     ENG 401 – Semantics         ENG 441 – Restoration and 18th           ENG 463 – American Fiction
22                                     NaN             Century British Literature                                  NaN
23         ENG 404 – Linguistics:  Grammar             ENG 442 – Romantic Writers            ENG 466 – American Poetry
24                                     NaN            ENG 443 – Victorian Writers       ENG 470 – Introduction to Film
25                                     NaN                                    NaN                           Literature]",,
Counseling,,,https://www.moreheadstate.edu/College-of-Education/Foundational-and-Graduate-Studies-in-Education/Academic-Programs/Counseling,,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"MSU's programs in counseling prepares candidates as school counselors and rank 1 counselors at the master's and educational specialist levels. At the master's level, students acquire core knowledge and clinical skills, which enable them to enter the profession of counseling. Graduates in the educational specialist programs develop advanced skills in clinical work and research. We strive to create a rigorous scholarly and supportive atmosphere for students to develop intellectually with a deep sense of social consciousness, professional ethics and self-awareness. We value teaching, scholarship and service, which contribute to the mission of the College of Education at MSU.",,"According to the Bureau of Labor Statistics, employment of school and career counselors is projected to grow 12 percent from 2012 to 2022, about as fast as the average for all occupations. Increasing school enrollments should lead to employment growth of school and career counselors.",
Early Childhood Education - MAT,,,"https://www.moreheadstate.edu/College-of-Education/Early-Childhood,-Elementary-and-Special-Education/Academic-Programs/Early-Childhood-Education-MAT",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"The Master of Arts in Interdisciplinary Early Childhood Education prepares individuals with or without prior teacher preparation to work with young children from birth through kindergarten. It leads to teacher certification and a master's degree. No prior teaching experience is required to enroll in the program, and once admitted into the program you may be employed as a fully qualified teacher in Kentucky schools as you work on completing your degree. ",,IECE certification will qualify you to serve as one of the following in Kentucky:,
Diagnostic Medical Sonography,,,"https://www.moreheadstate.edu/College-of-Science/Kinesiology,-Health,-and-Imaging-Sciences/Academic-Programs/Diagnostic-Medical-Sonography",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,," If you're interested in a career that combines helping others with using the latest medical technology, consider Morehead State's Bachelor of Science in Diagnostic Medical Sonography (DMS). Our program offers you not only the knowledge, but the hands-on experience to pursue a career in medical imaging.",,"Diagnostic Medical Sonography offers a wide variety of career opportunities. Graduates may become employed in hospitals, physicians offices, clinics, education, research, sales, and applications. Opportunities for travel are also available. DMS graduates in eastern Kentucky can typically expect a starting salary of approximately $47,000 - $52,000 annually.",
Dance,,,"https://www.moreheadstate.edu/Caudill-College-of-Arts,-Humanities-and-Social-Sci/mtd/Academic-Programs/Dance",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"The minor in dance is for those students who desire to pursue a major in another field but also want formal training in dance. Designed for both technical and non-technical dancers, you will develop a strong foundation in dance technique, history, composition and performance. You will learn a wide array of popular dance forms, including modern, tap, jazz, ballet, improvisation, African, hip-hop and more.",,"Our graduates pursue bachelor's or master's degrees in dance, participate in the American Dance Festival and perform with professional dance companies.",
Computer Science,,,https://www.moreheadstate.edu/College-of-Business-and-Technology/Computer-Science-and-Electronics/Academic-Programs/Computer-Science,,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"Are you interested in developing video games or working with technology security? The Bachelor of Science in Computer Science program at MSU offers a number of options to suit your interests. Whether you want to become a game developer or a network security expert, MSU's program prepares you for a successful, rewarding career, or to advance your education further in graduate school. The computer science program offers in-depth study in many aspects of computing systems. You will gain knowledge in a variety of programming languages, telecommunications and networking, operating systems, computer electronics, database systems, graphics and software development.",,"Graduates of this program pursue careers in applications and systems programming, systems analysis, software development, research, database management, telecommunications and security, game programming and consulting.",
Community Support Services,,,"https://www.moreheadstate.edu/College-of-Education/Early-Childhood,-Elementary-and-Special-Education/Academic-Programs/Community-Support-Services",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"MSU's Bachelor of Arts in Community Support Services is intended to train direct support professionals. Graduates work with people with disabilities or chronic illness at-risk children and youth, and families who need assistance in supporting family members.",,"A minor in community support services is also available and appropriate for individuals majoring in psychology, social work or other areas of human services.",
Communication and Media,,,"https://www.moreheadstate.edu/Caudill-College-of-Arts,-Humanities-and-Social-Sci/Communication,-Media-and-Languages/Academic-Programs/Communication-and-Media",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"We live in a time where information is abundant and travels at lightning speeds in a digital world. Within this world, you can turn your enthusiasm for communication into an amazing and impactful career. The programs within Communication, Media & Languages are designed for students interested in production, journalism, multimedia-based work, public relations, promotions, social media content development and event planning.",,"offers career planning, interview and resume preparation assistance, internship placement, and services to help you find a job after you graduate.",
Communication - MA,,,"https://www.moreheadstate.edu/Caudill-College-of-Arts,-Humanities-and-Social-Sci/Communication,-Media-and-Languages/Academic-Programs/Communication-MA",,,,,,,,,,,False,"6,778","4,485",Semester,2020,$,,,,,,5.0,,,,,,,,,,61,,,,,,,,,,,,,,"The Master of Arts (MA) in Communication provides advanced study of communication for professionals currently in the workforce, and for recent graduates of appropriate bachelor degree programs. This 30 credit hour program offers both a non-thesis and thesis option. The non-thesis option consists of a 9 credit hour core and 21 credit hours of electives, while the thesis option combines the 9 credit hour core with 15 hours of electives and 6 hours of thesis. The program may be completed online and in as little as twelve months. The pace required to achieve a one-year cycle typically mandates full-time graduate student status and is challenging.",,Career opportunities include:,
