course_name,category,sub_category,course_website,duration,duration_term,study_mode,degree_level,monthly_intake,intake_day,intake_month,apply_day,apply_month,city,domestic_only,international_fee,domestic_fee,fee_term,fee_year,currency,study_load,ielts_listening,ielts_speaking,ielts_writing,ielts_reading,ielts_overall,pte_listening,pte_speaking,pte_writing,pte_reading,pte_overall,toefl_listening,toefl_speaking,toefl_writing,toefl_reading,toefl_overall,english_test,reading,listening,speaking,writing,overall,academic_level,academic_score,score_type,academic_country,other_test,score,other_requirements,course_description,course_structure,career,scholarship
"Specialization Graduate - Doctoral,Graduate Specialization in Environmental Science and Policy",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=4750&PType=DP,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Graduate Specialization in Environmental Science and Policy, which is administered by the College of Social Science, is available as an elective to students enrolled in doctoral degree programs in departments and programs emphasizing environmental science or policy. The goal of the specialization is to provide doctoral students with opportunities to develop cross-disciplinary literacy, learn to integrate information from diverse disciplines, and conduct analyses of environmental issues in ways that support better decision-making about environmental issues.  The specialization encourages students to develop analytical skills that span both disciplines and spatial and temporal scales and equips them to communicate across disciplines. It prepares students to engage in research, teaching and service focused on complex environmental problems and to develop and disseminate sound analyses to improve environmental decision-making.,Students who are interested in this specialization must contact an advisor for the Graduate Specialization in Environmental Science and Policy in the Environmental Science and Policy Program. To be admitted to the specialization, a student must also be admitted to a doctoral program at Michigan State University.,With the approval of the department and college that administer the student’s degree program, courses that are used to satisfy the requirements for the specialization may also be used to satisfy the requirements for a doctoral degree.,Complete all the following courses (9 to12 credits):,Students may apply to waive either the natural science or social science/policy course requirement if they demonstrate competence. Students should contact the advisor for the program to apply for a waiver.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>ESP\xa0\xa0\xa0\xa0801\xa0\xa0\xa0\xa0Physical, Ch...'>]",,
"Graduate Certificate Program,Adult Gerontology Clinical Nurse Specialist - Graduate Certificate",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=4043&PType=DP,,,,Graduate Certification,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"
	The Graduate Certificate in Adult Gerontology Clinical Nurse Specialist provides both theoretical and clinical content related to meeting adult and gerontology health care needs and prepares registered nurses who already earned a master’s degree in nursing to take the American Nurses Credentialing Center Clinical Nurse Specialist certification examination.,
	The scheduling of the certificate program allows flexibility to accommodate both full-time students and working professionals by offering an online format with clinical placements in collaborating agencies throughout the state.,
	,
	To be considered for admission into the Graduate Certificate program in Clinical Nurse Specialist, applicants must meet the requirements specified below:,
	No provisional admission will be allowed. An applicant must meet all of the requirements for admission upon acceptance. Although students may meet all admission requirements, they may be denied admission solely based on space availability in the program.,
	,
	Students must complete all of the following courses (26 credits):","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>\r\n\t\tCompletion of a master...'>]",,
"Bachelor of Arts,Geography - Bachelor of Arts",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=4348&PType=DP,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"Within the discipline of geography, a tracking system permits students pursuing a bachelor's degree to concentrate in various interest areas. The departmental advisor and faculty members are available to discuss program options and career opportunities with interested students.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Master of Science,Geographic Information Science - Master of Science",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=4742&PType=DP,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Master of Science in Geographic Information Science is a Plan B (non-thesis) degree that places emphasis on applications of analytical techniques in the field of geography. Students are trained in advanced technologies such as remote sensing, geographic information systems, cartography, and spatial analysis. The degree is aimed toward professionals who want to acquire expertise in research techniques, but who may not wish to pursue a Doctor of Philosophy degree. This program is appropriate for persons with interest, but not necessarily strong training, in the geographical sciences.,Admission to the program is based on an evaluation of the complete application packet, which includes all transcripts and grades, letters of recommendation, a completed Background Information Form, a statement of purpose, and a summary of professional experience and awards.,
,
Highly ranked applicants will normally have: (1) an undergraduate degree in geography or a closely related field, and/or (2) significant professional experience dealing with the analysis of spatial data in public sector environmental management, transportation planning or evaluation, or urban planning.,All students are expected to have completed: (1) the equivalent of Geography 221, Introduction to Geographic Information which is an integrated introduction to cartography, geographic information systems, and remote sensing and (2) at least one of the following mathematics courses:  Calculus I, Linear Algebra, or an introductory statistics course.,In addition to meeting the requirements of the University and the College of Social Science, students must meet the requirements specified below.,All students in the Master of Science in Geographic Information Science must earn at least 30 credits, approved by the student’s guidance committee, distributed as follows:",,,
"Bachelor of Arts,General Business Administration - Prelaw",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=6041&PType=DP,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The general business administration–prelaw major combines prelegal and business education. Graduates may apply for admission to a law school or pursue an advanced degree in business administration, or enter a wide variety of careers in business.","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n    <li>The graduation requirem...'>]",,
"Bachelor of Science,Geography - Bachelor of Science",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=4351&PType=DP,,,,Undergraduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,"[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li>The University requirement...'>]",,
"Master of Arts for Teachers,General Science - Master of Arts for Teachers",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=3935&PType=DP,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Master of Arts for Teachers degree program with a major in general science is designed for elementary and middle school teachers who wish to pursue graduate study in the broad area of teaching science.  To meet the needs of practicing teachers, the courses that are required for the program are offered in the summer, and after school hours.,In addition to meeting the requirements of the University and of the College of Natural Science, students must meet the requirements specified below.,The requirements for admission to the master's degree program in general science include a bachelor's degree, teacher certification for grades K–8, at least 3 years of teaching experience, and current employment as a teacher in an elementary or middle school.,The program is available only under Plan B (without thesis).  A total of 30 credits is required for the degree.  The student's program of study must be approved by the student's academic advisor.  The student must meet the requirements specified below. ",,,
"Graduate Certificate Program,Food Safety - Graduate Certificate",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=4933&PType=DP,,,,Graduate Certification,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,,,
"Master of Arts,Family Studies - Master of Arts",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7642&PType=DP,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"This program emphasizes interpersonal relationships in the family and the interdependence of the family unit with other social systems.  Studies include courses in family theory, human sexuality, aging, and family crises.,The major work is interdisciplinary in character.  Courses are drawn from the departments of Family and Child Ecology, Psychology, and Sociology and others.  The minor may be selected from such fields as sociology, psychology, counseling and guidance, or social work.",,,
"Juris Doctor,Juris Doctor",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=3301,,,,Juris Doctor,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,,"[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li><span style=""mso-bidi-font...'>, <Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n\t<li><span style=""mso-bidi-font...'>]",,
"Specialization Graduate - Masters,Graduate Specialization in Ethics and Development",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=5650&PType=DP,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Specialization in Ethics and Development will encourage students to become conversant with relevant philosophical theories of justice, autonomy, community, and identity in relation to their own particular disciplines. They will relate this philosophical literature and apply philosophical skills to subjects such as economic and social sustainability; racial, gender, and ethnic conflict; humanitarian intervention; and globalization. Students and faculty will have the opportunity to address collaboratively in a philosophically sophisticated manner the difficult ethical issues that arise in the course of social, economic, political, and cultural development within an increasingly inter-connected global context.,The specialization, which is administered by the Department of Philosophy, is available as an elective to students who are enrolled in master’s and doctoral programs at Michigan State University. With the approval of the department or school and college that administers the student’s degree program, courses that are used to satisfy the requirements for the specialization may also be used to satisfy the requirements for the graduate degree program. The content of some elective courses may vary. The student’s program of study must be approved by the Director of the Ethics and Development Graduate Specialization.,Master's students must complete 9 credits, and doctoral students must complete 12 credits from the courses listed below as approved by the Director of the Specialization. All students must take courses in at least two departments and at least one elective course at the 800-level.",,,
"Specialization Graduate - Doctoral,Interdisciplinary Graduate Specialization in Women's and Gender Studies",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=5717,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Graduate Specialization in Women's and Gender Studies is designed for completion by either master’s or doctoral students. The graduate specialization is administered by the Program in Women, Gender and Social Justice in the College of Arts and Letters and the College of Social Science.,The graduate specialization in Women's and Gender Studies is designed to provide opportunities for graduate students to obtain a comprehensive, cross/interdisciplinary academic experience in women and gender and to foster the growth of interdisciplinary research and teaching on women and gender. Emphasis is given to understanding the diversity of women’s lives nationally and globally.,The graduate specialization is open to graduate students with adequate undergraduate preparation in women and gender. The specialization should complement advanced, discipline-based degrees by providing an interdisciplinary, feminist component.,Graduate students who are interested in enrolling should contact the advisor for the specialization.,With the approval of the advisor for the specialization, courses that are used to satisfy requirements in the student’s graduate degree program may also be used to satisfy the requirements for the Graduate Specialization in Women's and Gender Studies.,The student must complete 12 credits of course work distributed as follows and as approved by advisor for the specialization.",,,
"Graduate Certificate Program,Food Safety and Toxicology - Graduate Certificate",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=4925&PType=DP,,,,Graduate Certification,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Graduate Certificate in Food Safety and Toxicology embodies the principles of prevention in public health and addresses the needs of the food industry, government and public health for their employees to be educated in the many aspects of safeguarding food supply. Education of public health professionals in food safety and toxicology provides society with public health professionals who can contribute to the prevention and control of foodborne diseases.  The Graduate Certificate in Food Safety and Toxicology is available only online.,Students must complete the following courses (18 credits):, ",,,
"Specialization Graduate - Doctoral,Interdepartmental Graduate Specialization in Infancy and Early Childhood",,,https://reg.msu.edu/AcademicPrograms/ProgramDetail.aspx?Program=7632,,,,Graduate,,,,,,,True,"59,694","25,046",year,2021,,,,,,,6.5,48,48,48,48,53,17,17,17,17,79,,,,,,,,,,,,,,"The Interdepartmental Graduate Specialization in Infancy and Early Childhood is available as an elective for students who are enrolled in master’s and doctoral degree programs in the departments of Anthropology,  Audiology and Speech Sciences; Counseling, Educational Psychology and Special Education; Family and Child Ecology; Food Science and Human Nutrition; Kinesiology; Psychology;  and Sociology, in the Educational Specialist degree program in the Department of Counseling, Educational Psychology and Special Education; in the Master of Social Work degree programs in the School of Social Work; in the Master of Science in Nursing degree program in the College of Nursing; and in the graduate–professional degree programs in the College of Human Medicine and the College of Osteopathic Medicine. The College of Social Science administers the specialization in collaboration with the School of Social Work,  the cooperating units, an executive committee, and an advisory committee comprised of faculty members from each participating unit.,The quality of life during the first five years of human development provides the foundation upon which all subsequent development is built. As a result of advances in biomedical technology, social–cultural conditions, and legislation, increasing attention is being directed toward the optimal development of infants and their families.,The specialization is designed to prepare practitioners to meet the challenges of service delivery for very young children and their families and is based on the philosophy that a interdisciplinary educational program is the best educational experience for professionals who will work with infants, very young children, and their families. The specialization is also designed to provide a knowledge base that will facilitate the work of graduates who pursue careers in agencies, institutions, and government organizations that offer services to very young children, as well as those who pursue careers in teaching and research relevant to the needs of infants, very young children, and their families. ,The Interdepartmental Graduate Specialization in Infancy and Early Childhood will: ,A student who is enrolled in a master’s, educational specialist, doctoral, or graduate–professional degree program in one of the 12 participating academic units and who wishes to complete the requirements for an Interdepartmental Graduate Specialization in Infancy and Early Childhood should send their application to the director of the specialization. Qualified applicants must have a minimum grade-point average of 3.0. Once accepted into the specialization, students must identify a faculty member from their own discipline who is able to oversee their study in infancy and early childhood development, and to chair their guidance committee. Students are encouraged to actively solicit input from at least one faculty member from a discipline other than their home department, who will serve as a representative on the student’s guidance committee.,Students should work closely with their advisors within their academic units to develop meaningful experiences that are directly related to infancy and early childhood development studies. Credits that are used to meet the requirements for the specialization may also be counted toward the requirements for the student’s degree program at the discretion of the academic unit in which the student is enrolled.,Students who are pursuing the Interdepartmental Graduate Specialization in Infancy and Early Childhood are required to attend monthly seminars with members of the specialization faculty, staff, and other students in the program.,Students must complete a minimum of 12 credits for the Graduate Specialization in Infancy and Early Childhood. The student’s program of study must be approved by the student’s guidance committee. The student must:, ","[<Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n    <li>Provide an opportunity ...'>, <Selector xpath='//*[@id=""MainContent_divDesc""]/div/div[2]/ol' data='<ol>\r\n    <li>Master competencies thr...'>]",,
